Leccion3 > territorios >
territory_names2.csv
Not applicable, Akrotiri, Akrotiri, Not applicable
AI, Anguilla, Anguilla, Anguillan
BM, Bermuda, Bermuda, Bermudan
Not applicable, British Antarctic Territory, British Antarctic Territory, Not applicable
